Database | Timingchain (UnityEngine.GameObject) | Data | Time | 0
KEKMET(350-400psi) | doorl (UnityEngine.GameObject) | Use | OldRot | 0
KEKMET(350-400psi) | doorl (UnityEngine.GameObject) | Use | Rot | 0
KEKMET(350-400psi) | doorl (UnityEngine.GameObject) | Use | Rotation | 0
GIFU(750/450psi) | Throttle (UnityEngine.GameObject) | Angle | Data | 0
STORE | Register (UnityEngine.GameObject) | Data | BrokenWindow | 2760
STORE | Register (UnityEngine.GameObject) | Data | DieselPurchase | 0
STORE | Register (UnityEngine.GameObject) | Data | FuelPurchase | 0
STORE | Register (UnityEngine.GameObject) | Data | PriceTotal | 0
STORE | Register (UnityEngine.GameObject) | Data | SpawnDelay | 0.1
STORE | Register (UnityEngine.GameObject) | Data | Total | 2760
JOBS | HouseWood1 (UnityEngine.GameObject) | Logic | Wait | 0
HAYOSIKO(1500kg) | Starter (UnityEngine.GameObject) | Use | DashVolume | 0
HAYOSIKO(1500kg) | Starter (UnityEngine.GameObject) | Use | MouseDelay | 0.4
Database | Sparkplug1 (UnityEngine.GameObject) | Data | Time | 0
YARD | Coll (UnityEngine.GameObject) | Use | RayDistance | 1.5
YARD | Coll (UnityEngine.GameObject) | Use | Rotation | 95.31596
KEKMET(350-400psi) | Speaker (UnityEngine.GameObject) | Settings | DistortionLevel | 0.5
KEKMET(350-400psi) | Speaker (UnityEngine.GameObject) | Settings | Volume | 1
GIFU(750/450psi) | Clutch (UnityEngine.GameObject) | Angle | Data | 0
KEKMET(350-400psi) | Hook (UnityEngine.GameObject) | Distance | Distance | 5.59721
JOBS | HeadPivot (UnityEngine.GameObject) | Look | Rot | 295.3667
SATSUMA(557kg) | pedal_brake (UnityEngine.GameObject) | Angle | Angle | 0
SATSUMA(557kg) | pedal_brake (UnityEngine.GameObject) | Angle | Data | 0
SATSUMA(557kg) | BoltPM (UnityEngine.GameObject) | Screw | Alignment | 7.5
SATSUMA(557kg) | BoltPM (UnityEngine.GameObject) | Screw | Max | 12
SATSUMA(557kg) | BoltPM (UnityEngine.GameObject) | Screw | Min | 1
GIFU(750/450psi) | ShitTank (UnityEngine.GameObject) | Waste | Mass | 4812.935
GIFU(750/450psi) | ShitTank (UnityEngine.GameObject) | Waste | Waste | 2312.935
GIFU(750/450psi) | ShitTank (UnityEngine.GameObject) | Pump | LitresPerSecond | 0.05
GIFU(750/450psi) | ShitTank (UnityEngine.GameObject) | Pump | ShitLevel | 0
GIFU(750/450psi) | ShitTank (UnityEngine.GameObject) | SpillPump | Rot | 0
GIFU(750/450psi) | ShitTank (UnityEngine.GameObject) | SpillPump | Waste | 0
GIFU(750/450psi) | Speedometer (UnityEngine.GameObject) | Speed | Rotation | -3.167071E-09
GIFU(750/450psi) | Speedometer (UnityEngine.GameObject) | Speed | Speed | 1.466236E-09
SATSUMA(557kg) | Speedometer (UnityEngine.GameObject) | Speed | Rotation | 0
SATSUMA(557kg) | Speedometer (UnityEngine.GameObject) | Speed | Velocity | 0
SATSUMA(557kg) | DriveTrigger (UnityEngine.GameObject) | PlayerTrigger | Distance | 0
SATSUMA(557kg) | DriveTrigger (UnityEngine.GameObject) | PlayerTrigger | MinimumRequiredVelocity | 0.15
SATSUMA(557kg) | DriveTrigger (UnityEngine.GameObject) | PlayerTrigger | Speed | 0
SATSUMA(557kg) | DriveTrigger (UnityEngine.GameObject) | PlayerTrigger | VeloX | 0
SATSUMA(557kg) | DriveTrigger (UnityEngine.GameObject) | PlayerTrigger | VeloY | 0
SATSUMA(557kg) | DriveTrigger (UnityEngine.GameObject) | PlayerTrigger | VeloZ | 0
HAYOSIKO(1500kg) | clutch (UnityEngine.GameObject) | FSM | Data | 9
TRAFFIC | TriggerOut (UnityEngine.GameObject) | Trigger | Distance | 0
TRAFFIC | TriggerIn (UnityEngine.GameObject) | Trigger | Distance | 0
Database | Seat_Rear (UnityEngine.GameObject) | Data | Time | 0
MAP | 4 (UnityEngine.GameObject) | LOD | Distance | 1727.79
MAP | 4 (UnityEngine.GameObject) | LOD | LOD | 500
Database | Starter (UnityEngine.GameObject) | Data | Time | 0
CARPARTS | Sleep (UnityEngine.GameObject) | Activate | FadeTime | 4
CARPARTS | Sleep (UnityEngine.GameObject) | Activate | GameVolume | 0
CARPARTS | Sleep (UnityEngine.GameObject) | Activate | Rate | 0
Database | Piston1 (UnityEngine.GameObject) | Data | Time | 0
FLATBED | RearIK_2 (UnityEngine.GameObject) | CalculateAngle | Tire1pos | -0.1156898
FLATBED | RearIK_2 (UnityEngine.GameObject) | CalculateAngle | Tire2pos | -0.1157033
FLATBED | RearIK_2 (UnityEngine.GameObject) | CalculateAngle | TireAngle | -0.0004287834
FLATBED | RearIK_2 (UnityEngine.GameObject) | CalculateAngle | Travel | 1.347065E-05
FLATBED | RearIK_2 (UnityEngine.GameObject) | CalculateAngle | Wheelbase | 1.800003
FERNDALE(1630kg) | RadioVolume (UnityEngine.GameObject) | Knob | Rot | 0
FERNDALE(1630kg) | RadioVolume (UnityEngine.GameObject) | Knob | Scroll | 0
FERNDALE(1630kg) | RadioVolume (UnityEngine.GameObject) | Knob | Tune | 0.091
FERNDALE(1630kg) | RadioVolume (UnityEngine.GameObject) | Knob | Volume | 0
JOBS | ShitLevelTrigger (UnityEngine.GameObject) | Level | ShitLevel | 2.491668
JOBS | ShitLevelTrigger (UnityEngine.GameObject) | Level | ShitRate | 0.00660404
JOBS | ShitLevelTrigger (UnityEngine.GameObject) | Level | Tolerance | 0.5
COTTAGE | Simulation (UnityEngine.GameObject) | Time | CoolingSauna | 0.08
COTTAGE | Simulation (UnityEngine.GameObject) | Time | CoolingStove | 0.02
COTTAGE | Simulation (UnityEngine.GameObject) | Time | MaxSaunaHeat | 0
COTTAGE | Simulation (UnityEngine.GameObject) | Time | SaunaHeat | 24
COTTAGE | Simulation (UnityEngine.GameObject) | Time | StoveHeat | 24
JONNEZ ES(Clone) | Tipping (UnityEngine.GameObject) | Tipping1 | Rot | 89.94749
JONNEZ ES(Clone) | Tipping (UnityEngine.GameObject) | Tipping1 | Speed | 0
JONNEZ ES(Clone) | Tipping (UnityEngine.GameObject) | Tipping1 | TippingAngle | 140
JONNEZ ES(Clone) | Tipping (UnityEngine.GameObject) | Tipping2 | Velo | 0
JONNEZ ES(Clone) | Tipping (UnityEngine.GameObject) | Brake | Clutch | 0
JONNEZ ES(Clone) | Tipping (UnityEngine.GameObject) | Brake | FrictionTorque | 700
Database | Racing Exhaust (UnityEngine.GameObject) | Data | Time | 0
SATSUMA(557kg) | Transmission (UnityEngine.GameObject) | Transmission | FinalGear | 4.625
SATSUMA(557kg) | Transmission (UnityEngine.GameObject) | Transmission | Fluid | 0.5
SATSUMA(557kg) | Transmission (UnityEngine.GameObject) | Transmission | Rate | 0
SATSUMA(557kg) | Transmission (UnityEngine.GameObject) | Transmission | Tightness | 16
SATSUMA(557kg) | Transmission (UnityEngine.GameObject) | Transmission | Wear | 0
SATSUMA(557kg) | Transmission (UnityEngine.GameObject) | Gear Linkage | Random | 0
SATSUMA(557kg) | Transmission (UnityEngine.GameObject) | Gear Linkage | Rate | 0
SATSUMA(557kg) | Transmission (UnityEngine.GameObject) | Gear Linkage | Tightness | 48
SATSUMA(557kg) | Transmission (UnityEngine.GameObject) | Gear Linkage | Tightness1 | 24
SATSUMA(557kg) | Transmission (UnityEngine.GameObject) | Gear Linkage | Tightness2 | 24
HAYOSIKO(1500kg) | RadioTuner (UnityEngine.GameObject) | Knob | Rot | 890.0003
HAYOSIKO(1500kg) | RadioTuner (UnityEngine.GameObject) | Knob | Scroll | 0
HAYOSIKO(1500kg) | RadioTuner (UnityEngine.GameObject) | Knob | Tune | 0.08900003
INSPECTION | InspectionProcess (UnityEngine.GameObject) | Inspect | Value | 0
INSPECTION | InspectionProcess (UnityEngine.GameObject) | Inspect | Value2 | 0
JOBS | ShitLevelTrigger (UnityEngine.GameObject) | Level | ShitLevel | 2.589994
JOBS | ShitLevelTrigger (UnityEngine.GameObject) | Level | ShitRate | 0.005285116
JOBS | ShitLevelTrigger (UnityEngine.GameObject) | Level | Tolerance | 0.5
GUI | Pivot (UnityEngine.GameObject) | Scale | Scale | 0.2346074
KEKMET(350-400psi) | AirIntake (UnityEngine.GameObject) | InWater | Distance | 0
KEKMET(350-400psi) | AirIntake (UnityEngine.GameObject) | InWater | Pos | 0.638028
