Timingchain (UnityEngine.GameObject) | Data | Time | 0
doorl (UnityEngine.GameObject) | Use | OldRot | 0
doorl (UnityEngine.GameObject) | Use | Rot | 0
doorl (UnityEngine.GameObject) | Use | Rotation | 0
Throttle (UnityEngine.GameObject) | Angle | Data | 0
Register (UnityEngine.GameObject) | Data | BrokenWindow | 2760
Register (UnityEngine.GameObject) | Data | DieselPurchase | 0
Register (UnityEngine.GameObject) | Data | FuelPurchase | 0
Register (UnityEngine.GameObject) | Data | PriceTotal | 0
Register (UnityEngine.GameObject) | Data | SpawnDelay | 0.1
Register (UnityEngine.GameObject) | Data | Total | 2760
HouseWood1 (UnityEngine.GameObject) | Logic | Wait | 0
Sparkplug1 (UnityEngine.GameObject) | Data | Time | 0
Coll (UnityEngine.GameObject) | Use | RayDistance | 1.5
Coll (UnityEngine.GameObject) | Use | Rotation | 95.31585
Speaker (UnityEngine.GameObject) | Settings | DistortionLevel | 0.5
Speaker (UnityEngine.GameObject) | Settings | Volume | 1
Clutch (UnityEngine.GameObject) | Angle | Data | 0
Hook (UnityEngine.GameObject) | Distance | Distance | 5.597199
HeadPivot (UnityEngine.GameObject) | Look | Rot | 295.3667
pedal_brake (UnityEngine.GameObject) | Angle | Angle | 0
pedal_brake (UnityEngine.GameObject) | Angle | Data | 0
BoltPM (UnityEngine.GameObject) | Screw | Alignment | 7.5
BoltPM (UnityEngine.GameObject) | Screw | Max | 12
BoltPM (UnityEngine.GameObject) | Screw | Min | 1
ShitTank (UnityEngine.GameObject) | Waste | Mass | 4812.935
ShitTank (UnityEngine.GameObject) | Waste | Waste | 2312.935
ShitTank (UnityEngine.GameObject) | Pump | LitresPerSecond | 0.05
ShitTank (UnityEngine.GameObject) | Pump | ShitLevel | 0
ShitTank (UnityEngine.GameObject) | SpillPump | Rot | 0
ShitTank (UnityEngine.GameObject) | SpillPump | Waste | 0
Speedometer (UnityEngine.GameObject) | Speed | Rotation | -1.357174E-08
Speedometer (UnityEngine.GameObject) | Speed | Speed | 6.283214E-09
Speedometer (UnityEngine.GameObject) | Speed | Rotation | 0
Speedometer (UnityEngine.GameObject) | Speed | Velocity | 0
DriveTrigger (UnityEngine.GameObject) | PlayerTrigger | Distance | 0
DriveTrigger (UnityEngine.GameObject) | PlayerTrigger | MinimumRequiredVelocity | 0.15
DriveTrigger (UnityEngine.GameObject) | PlayerTrigger | Speed | 0
DriveTrigger (UnityEngine.GameObject) | PlayerTrigger | VeloX | 0
DriveTrigger (UnityEngine.GameObject) | PlayerTrigger | VeloY | 0
DriveTrigger (UnityEngine.GameObject) | PlayerTrigger | VeloZ | 0
TriggerOut (UnityEngine.GameObject) | Trigger | Distance | 0
TriggerIn (UnityEngine.GameObject) | Trigger | Distance | 0
Seat_Rear (UnityEngine.GameObject) | Data | Time | 0
