FINISHED | REPAIRSHOP
FINISHED | REPAIRSHOP
10 | REPAIRSHOP
12 | REPAIRSHOP
14 | REPAIRSHOP
16 | REPAIRSHOP
18 | REPAIRSHOP
2 | REPAIRSHOP
20 | REPAIRSHOP
22 | REPAIRSHOP
24 | REPAIRSHOP
4 | REPAIRSHOP
6 | REPAIRSHOP
8 | REPAIRSHOP
GLOBALEVENT | REPAIRSHOP
WAKEUP | REPAIRSHOP
WEEKEND | REPAIRSHOP
FINISHED | Order
EXISTS | Order
FERNDALE | Order
GLOBALEVENT | Order
NOTEXISTS | Order
SAVEGAME | Order
WAIT | Order
WORK | Order
FINISHED | JunkYardJob
EXISTS | JunkYardJob
JUNKCAR1 | JunkYardJob
JUNKCAR2 | JunkYardJob
JUNKCAR3 | JunkYardJob
NOTEXISTS | JunkYardJob
PROCEED | JunkYardJob
SAVEGAME | JunkYardJob
FINISHED | BoozeJob
LOOP | BoozeJob
SAVEGAME | BoozeJob
SPAWNITEM | BoozeJob
FINISHED | BoozeJob
CALL | BoozeJob
END | BoozeJob
EXISTS | BoozeJob
LOOP | BoozeJob
NIGHT | BoozeJob
NOTEXISTS | BoozeJob
SAVEGAME | BoozeJob
STOP | BoozeJob
WAITING | BoozeJob
FINISHED | SAVEGAME
CLICK | SAVEGAME
LOOP | SAVEGAME
OFF | SAVEGAME
ON | SAVEGAME
FINISHED | Register
CASH | Register
PROCEED | Register
PURCHASE | Register
SAVEGAME | Register
SPAWNITEM | Register
STOP | Register
USE | Register
FINISHED | Handle
CLOSE | Handle
GLOBALEVENT | Handle
LOCKED | Handle
OPEN | Handle
OPENDOOR | Handle
USE | Handle
